name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tripura,03-11-2022,29,21.2,25.1,32.8,21.2,26.5,21.8,82.3,0,0,0,,0,0,13.7,7.6,337.4,1010.7,59.1,8.7,186,16.2,8,10,2022-11-03T05:31:45,2022-11-03T16:44:45,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
Tripura,04-11-2022,31.6,19.4,24.7,37.8,19.4,26.1,20.9,80.1,0,0,0,,0,0,8.3,7.6,350.5,1012.4,20.3,8.2,221.5,19.3,8,30,2022-11-04T05:32:20,2022-11-04T16:44:10,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
Tripura,05-11-2022,32,20.3,26,36.5,20.3,28.2,22.2,80.8,0,0,0,,0,0,7.6,5.4,73.7,1013.9,21.9,7.4,220.4,19,8,30,2022-11-05T05:32:56,2022-11-05T16:43:36,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
Tripura,06-11-2022,33,20.8,26.4,39.4,20.8,28.5,22.3,79.3,0,0,0,rain,0,0,7.6,3.6,183.4,1014.2,21.5,8.5,218.9,18.9,8,30,2022-11-06T05:33:33,2022-11-06T16:43:04,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
Tripura,07-11-2022,31,20.4,25.8,34.6,20.4,27.2,21.2,77.1,0,0,0,,0,0,6.1,5.4,17.1,1013.8,22.5,8.3,219.6,18.9,8,10,2022-11-07T05:34:10,2022-11-07T16:42:33,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
Tripura,08-11-2022,31,19.7,25.1,33.7,19.7,26.4,20.9,78.7,0,0,0,,0,0,5.4,7.6,36.9,1013.7,31.9,8.6,220,19,8,10,2022-11-08T05:34:47,2022-11-08T16:42:03,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
Tripura,09-11-2022,31,19.1,24.8,33.3,19.1,25.6,19.3,73.2,0,0,0,,0,0,7.6,5.4,36,1013.7,38.3,8.7,220.3,19.2,8,10,2022-11-09T05:35:25,2022-11-09T16:41:35,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
Tripura,10-11-2022,32.1,18.2,24.5,33.7,18.2,24.9,18.5,71.6,0,0,0,,0,0,9,5.4,27.3,1013.6,11.5,8.7,218,18.8,8,10,2022-11-10T05:36:03,2022-11-10T16:41:07,0.53,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41915099999,41933099999,VEAT,remote"
Tripura,11-11-2022,30.1,18.1,23.8,31.4,18.1,24.3,18.5,74,0,0,0,,0,0,8.3,9.4,21.9,1013.2,38.1,8.6,212.8,18.4,8,10,2022-11-11T05:36:42,2022-11-11T16:40:42,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42724099999,41915099999,41933099999,VEAT,remote"
Tripura,12-11-2022,31,18.2,23.8,33,18.2,24.3,18.3,73.1,0,0,0,,0,0,13,7.6,0.5,1013.3,19.7,9.1,215.1,18.6,8,10,2022-11-12T05:37:21,2022-11-12T16:40:17,0.58,Clear,Clear conditions throughout the day.,clear-day,"42724099999,41915099999,41933099999,VEAT,remote"
